emotion_cluster,V,A,C,U,S
0,-673.5,554.375,346.25,-540.0,601.25
1,-507.27272727272725,397.27272727272725,-585.4545454545455,561.2121212121212,-170.6060606060606
2,-544.6382978723404,100.85106382978724,-491.06382978723406,78.29787234042553,634.468085106383
3,-555.7647058823529,-385.0,-462.05882352941177,-274.11764705882354,-366.47058823529414
4,736.7567567567568,455.6756756756757,302.1621621621622,-272.97297297297297,145.40540540540542
5,690.2564102564103,-370.7692307692308,325.12820512820514,-637.9487179487179,343.0769230769231
